date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:27	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:28%20GMT	https://www.templatemonster.com/demo/this.isAbsolute%28	D:/temp/www.templatemonster.com/demo/this.isAbsolute(	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:28%20GMT	https://www.templatemonster.com/demo/this.isAbsolute(	D:/temp/www.templatemonster.com/demo/this.isAbsolute(	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:28	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:28%20GMT	https://www.templatemonster.com/demo/this.isAbsolute%28	D:/temp/www.templatemonster.com/demo/this.isAbsolute(	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:28	716772/716772	---MCZ	200	added ('OK')	text/css	etag:W/%22222b6db-aefe4-5438c61881812%22	https://www.templatemonster.com/css/svg-icons.css?d=c993a27	D:/temp/www.templatemonster.com/css/svg-icons56b0.css	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:29%20GMT	https://www.templatemonster.com/demo/this.isAbsolute(	D:/temp/www.templatemonster.com/demo/this.isAbsolute(	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:29	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:29%20GMT	https://www.templatemonster.com/demo/this.isAbsolute%28	D:/temp/www.templatemonster.com/demo/this.isAbsolute(	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:31%20GMT	https://www.templatemonster.com/demo/this.isAbsolute(	D:/temp/www.templatemonster.com/demo/this.isAbsolute(	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:31	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:32%20GMT	https://www.templatemonster.com/demo/a	D:/temp/www.templatemonster.com/demo/a	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:33	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:33%20GMT	https://www.templatemonster.com/demo/safari/	D:/temp/www.templatemonster.com/demo/safari/index.html	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:33	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:33%20GMT	https://www.templatemonster.com/demo/gecko/	D:/temp/www.templatemonster.com/demo/gecko/index.html	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:33	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:33%20GMT	https://www.templatemonster.com/demo/mozilla/	D:/temp/www.templatemonster.com/demo/mozilla/index.html	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
